PracticeID,Board,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,Business Executives,Business Process Owners,Strategy Executive Committee,Steering Committee,Project Management Office,Value Management Office,Chief Risk Officer,Chief Information Security Officer,Architecture Board,Enterprice Risk Committee,Head Human Resources,Compliance,Audit,Chief Information Officer,Head Architect,Head Development,Head IT Operations,Head IT Administration,Service Manager,Information Security Manager,Business Continuity Manager,Privacy Officer
DSS05.02,,,,,,I,,,,,C,A,,,,C,C,C,I,R,R,,I,R,,
DSS05.03,,,,,,I,,,,,C,A,,,,C,C,C,I,R,R,,I,R,,
DSS05.04,,,,,,R,,,,,C,A,,,I,C,C,C,I,C,R,,I,R,,C
DSS05.05,,,,,,I,,,,,C,A,,,,C,C,C,I,C,R,,I,R,I,
DSS05.06,,,,,,,,,,,I,,,,,C,C,A,,,R,,,,,
DSS05.07,,,,I,,C,,,,,I,A,,,,C,C,C,I,C,R,,I,R,I,I
DSS06.01,,C,C,C,A,R,,,,,I,I,,,,C,C,C,,,C,,C,C,,C
DSS06.02,,R,R,R,A,R,,,,,I,I,,,,C,C,C,,,C,,C,C,,
DSS06.03,,,R,,A,R,,,,,,I,,,I,C,C,C,,,C,,C,R,,C
DSS06.04,,,,I,I,A,,,,,,,,,,C,C,I,,,C,,R,,,
DSS06.05,,,,,C,A,,,,,,I,,,,C,C,C,,,C,,C,C,,
DSS06.06,,,C,C,C,A,,,,,I,I,,,,C,C,C,,,C,,,C,C,C
MEA01.01,,A,R,R,R,I,C,,I,,,,,,C,C,C,R,I,C,C,I,C,I,I,I
MEA01.02,,I,I,I,A,R,,,I,,,,,,C,,,C,C,R,R,I,R,I,I,I
MEA01.03,,,,,C,R,,,I,,,,,,C,,,A,,R,R,I,R,I,I,I
MEA01.04,,,,,A,R,,,C,,,,,,C,C,C,C,C,R,R,C,R,C,C,C
MEA01.05,I,I,I,I,C,R,,,C,,,,,,C,C,C,A,C,R,R,C,R,C,C,C
MEA02.01,,I,C,I,C,R,,,R,,R,,,,,R,R,A,I,R,R,R,R,R,R,R
MEA02.02,I,I,R,I,A,R,I,,,,I,I,,,,R,R,C,,,C,,C,C,C,
MEA02.03,,I,C,I,C,R,,,R,,R,,,,,R,R,A,I,R,R,R,R,R,R,R
MEA02.04,,I,C,I,C,R,,,R,,I,I,,,,R,R,A,I,R,R,R,R,R,R,R
MEA02.05,,,,,,R,,,,,,,,,,A,A,R,,,,,,,,
MEA02.06,,A,,,C,R,,,C,,,,,,,C,C,R,C,C,C,C,C,C,C,C
MEA02.07,,,,R,R,R,,,C,,,,,,,C,A,R,C,C,C,C,C,C,C,C
MEA02.08,I,I,,,C,R,,,C,,I,I,,,,C,A,R,C,C,C,C,C,C,C,C
MEA03.01,,,,,A,R,,,,,,,,,,R,R,R,,,,,,,,R
MEA03.02,,R,R,R,A,R,I,,R,,,,,,,R,R,R,I,R,R,R,R,R,R,R
MEA03.03,I,R,R,R,R,R,I,I,C,,,,,,,A,I,R,C,C,C,C,C,C,C,R
MEA03.04,I,I,I,I,C,C,I,,C,,,,,,,C,A,R,C,C,C,C,C,C,C,C
